,name,scan_day,operator
234,Allen County Public Library Geneaology Center,2009-04-23,11
235,Allen County Public Library Geneaology Center,2009-04-24,14
236,Allen County Public Library Geneaology Center,2009-04-27,10
237,Allen County Public Library Geneaology Center,2009-04-28,12
238,Allen County Public Library Geneaology Center,2009-04-29,12
239,Allen County Public Library Geneaology Center,2009-04-30,13
240,Allen County Public Library Geneaology Center,2009-05-01,12
241,Allen County Public Library Geneaology Center,2009-05-04,15
242,Allen County Public Library Geneaology Center,2009-05-05,6
243,Allen County Public Library Geneaology Center,2009-05-06,10
244,Allen County Public Library Geneaology Center,2009-05-07,10
245,Allen County Public Library Geneaology Center,2009-05-08,11
246,Allen County Public Library Geneaology Center,2009-05-11,12
247,Allen County Public Library Geneaology Center,2009-05-12,10
248,Allen County Public Library Geneaology Center,2009-05-13,12
249,Allen County Public Library Geneaology Center,2009-05-14,12
250,Allen County Public Library Geneaology Center,2009-05-15,12
251,Allen County Public Library Geneaology Center,2009-05-18,14
252,Allen County Public Library Geneaology Center,2009-05-19,12
253,Allen County Public Library Geneaology Center,2009-05-20,9
254,Allen County Public Library Geneaology Center,2009-05-21,12
255,Allen County Public Library Geneaology Center,2009-05-22,12
256,Allen County Public Library Geneaology Center,2009-05-26,15
257,Allen County Public Library Geneaology Center,2009-05-27,16
258,Allen County Public Library Geneaology Center,2009-05-28,13
259,Allen County Public Library Geneaology Center,2009-05-29,12
260,Allen County Public Library Geneaology Center,2009-06-01,11
261,Allen County Public Library Geneaology Center,2009-06-02,12
262,Allen County Public Library Geneaology Center,2009-06-03,14
263,Allen County Public Library Geneaology Center,2009-06-04,13
264,Allen County Public Library Geneaology Center,2009-06-05,10
265,Allen County Public Library Geneaology Center,2009-06-06,2
266,Allen County Public Library Geneaology Center,2009-06-08,13
267,Allen County Public Library Geneaology Center,2009-06-09,13
268,Allen County Public Library Geneaology Center,2009-06-10,12
269,Allen County Public Library Geneaology Center,2009-06-11,12
270,Allen County Public Library Geneaology Center,2009-06-12,8
271,Allen County Public Library Geneaology Center,2009-06-15,10
272,Allen County Public Library Geneaology Center,2009-06-16,13
273,Allen County Public Library Geneaology Center,2009-06-17,11
274,Allen County Public Library Geneaology Center,2009-06-18,12
275,Allen County Public Library Geneaology Center,2009-06-19,12
276,Allen County Public Library Geneaology Center,2009-06-22,9
277,Allen County Public Library Geneaology Center,2009-06-23,16
278,Allen County Public Library Geneaology Center,2009-06-24,14
279,Allen County Public Library Geneaology Center,2009-06-25,12
280,Allen County Public Library Geneaology Center,2009-06-26,13
281,Allen County Public Library Geneaology Center,2009-06-29,13
282,Allen County Public Library Geneaology Center,2009-06-30,13
283,Allen County Public Library Geneaology Center,2009-07-01,12
284,Allen County Public Library Geneaology Center,2009-07-02,9
285,Allen County Public Library Geneaology Center,2009-07-06,12
286,Allen County Public Library Geneaology Center,2009-07-07,11
287,Allen County Public Library Geneaology Center,2009-07-08,11
288,Allen County Public Library Geneaology Center,2009-07-09,12
289,Allen County Public Library Geneaology Center,2009-07-10,10
290,Allen County Public Library Geneaology Center,2009-07-13,13
291,Allen County Public Library Geneaology Center,2009-07-14,13
292,Allen County Public Library Geneaology Center,2009-07-15,11
293,Allen County Public Library Geneaology Center,2009-07-16,12
294,Allen County Public Library Geneaology Center,2009-07-17,11
295,Allen County Public Library Geneaology Center,2009-07-20,12
296,Allen County Public Library Geneaology Center,2009-07-21,11
297,Allen County Public Library Geneaology Center,2009-07-22,13
298,Allen County Public Library Geneaology Center,2009-07-23,12
299,Allen County Public Library Geneaology Center,2009-07-24,8
300,Allen County Public Library Geneaology Center,2009-07-27,7
301,Allen County Public Library Geneaology Center,2009-07-28,7
302,Allen County Public Library Geneaology Center,2009-07-29,13
303,Allen County Public Library Geneaology Center,2009-07-30,15
304,Allen County Public Library Geneaology Center,2009-07-31,4
305,Allen County Public Library Geneaology Center,2009-08-03,8
306,Allen County Public Library Geneaology Center,2009-08-04,9
307,Allen County Public Library Geneaology Center,2009-08-05,9
308,Allen County Public Library Geneaology Center,2009-08-06,13
309,Allen County Public Library Geneaology Center,2009-08-07,6
310,Allen County Public Library Geneaology Center,2009-08-10,12
311,Allen County Public Library Geneaology Center,2009-08-11,11
312,Allen County Public Library Geneaology Center,2009-08-12,12
313,Allen County Public Library Geneaology Center,2009-08-13,10
314,Allen County Public Library Geneaology Center,2009-08-14,7
315,Allen County Public Library Geneaology Center,2009-08-17,13
316,Allen County Public Library Geneaology Center,2009-08-18,9
317,Allen County Public Library Geneaology Center,2009-08-19,12
318,Allen County Public Library Geneaology Center,2009-08-20,14
319,Allen County Public Library Geneaology Center,2009-08-21,10
320,Allen County Public Library Geneaology Center,2009-08-24,11
