,month_year,center_type,index,name,books_scanned
146,2009-03,academic,28723,Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto,11360
147,2009-03,government,5243,Library of CongressSmithsonian Libraries and Archives,3062
148,2009-03,hq,2095,Internt Archive Physical Archive,1053
149,2009-03,museum,2521,"Natural History Museum Library, London",173
150,2009-03,public,631,Allen County Public Library Geneaology CenterBoston Public Library,3876
151,2009-04,academic,28732,Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto,11030
152,2009-04,government,5245,Library of CongressSmithsonian Libraries and Archives,3137
153,2009-04,hq,2096,Internt Archive Physical Archive,763
154,2009-04,museum,2522,"Natural History Museum Library, London",170
155,2009-04,public,633,Allen County Public Library Geneaology CenterBoston Public Library,4092
156,2009-05,academic,28741,Columbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto,9667
157,2009-05,government,5247,Library of CongressSmithsonian Libraries and Archives,3422
158,2009-05,hq,2097,Internt Archive Physical Archive,933
159,2009-05,museum,2523,"Natural History Museum Library, London",150
160,2009-05,public,635,Allen County Public Library Geneaology CenterBoston Public Library,3210
161,2009-06,academic,29178,"BYU, ProvoColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",10898
162,2009-06,archive,1110,Church History Library,2
163,2009-06,government,5249,Library of CongressSmithsonian Libraries and Archives,4512
164,2009-06,hq,2098,Internt Archive Physical Archive,519
165,2009-06,museum,2524,"Natural History Museum Library, London",100
166,2009-06,public,637,Allen County Public Library Geneaology CenterBoston Public Library,3734
167,2009-07,academic,29188,"BYU, ProvoColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",9874
168,2009-07,archive,1111,Church History Library,20
169,2009-07,bpo,1280,Datum Data Co. Ltd.,7
170,2009-07,government,5251,Library of CongressSmithsonian Libraries and Archives,7297
171,2009-07,hq,6093,Internet Archive HeadquartersInternet Archive Sheridan HeadquartersInternt Archive Physical Archive,1392
172,2009-07,museum,2525,"Natural History Museum Library, London",137
173,2009-07,public,639,Allen County Public Library Geneaology CenterBoston Public Library,2823
174,2009-08,academic,29198,"BYU, ProvoColumbia UniversityNational Library of ScotlandNorth Carolina State UniversityPrinceton UniversityUCLAUIUCUNC Chapel HillUniversidad Francisco MarroquínUniversity of Toronto",8468
175,2009-08,archive,1112,Church History Library,58
176,2009-08,bpo,1834,Hong Kong,1
177,2009-08,government,5253,Library of CongressSmithsonian Libraries and Archives,4498
178,2009-08,hq,6096,Internet Archive HeadquartersInternet Archive Sheridan HeadquartersInternt Archive Physical Archive,3001
179,2009-08,museum,2526,"Natural History Museum Library, London",85
180,2009-08,public,641,Allen County Public Library Geneaology CenterBoston Public Library,2442
