,scan_center,lat,long,name,center_visuals_path,data_repo_link,object_location
50,RMSC-IIITH,17.45672402,78.34022488,"Regional Mega Scanning Center by IIT, Hyderbad",regional_mega_scanning_center_by_iit_hyderbad,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/regional_mega_scanning_center_by_iit_hyderbad/
51,Durham,36.00354706,-78.93830223,Duke University,duke_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/duke_university/
52,tt_pts,"40.345616069264594,",-74.66150508,Princeton University,princeton_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/princeton_university/
53,sacramento,38.57603262,-121.4962643,California State Library,california_state_library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/california_state_library/
54,beijing,40.40857413,116.6825007,University of Chinese Academy of Sciences,university_of_chinese_academy_of_sciences,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/university_of_chinese_academy_of_sciences/
55,tt_bangalore,13.01508353,77.58188903,Servants of knowledge,servants_of_knowledge,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/servants_of_knowledge/
56,IIIT Hyderabad,17.45672402,78.34022488,International Institute of Information Technology Hyderabad,international_institute_of_information_technology_hyderabad,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/international_institute_of_information_technology_hyderabad/
57,trent,44.35924592,-78.28865505,Trent University,trent_university,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/trent_university/
58,arch,37.80039616,-122.4603638,Internet Archive Headquarters,internet_archive_headquarters,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/internet_archive_headquarters/
59,guatemala,14.60594769,-90.50534962,Universidad Francisco Marroquín,universidad_francisco_marroquín,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/universidad_francisco_marroquín/
