,name,scan_day,operator,identifier,books_per_worker
484,Allen County Public Library Geneaology Center,2010-04-23,13,56,4.3076923076923075
485,Allen County Public Library Geneaology Center,2010-04-26,12,41,3.4166666666666665
486,Allen County Public Library Geneaology Center,2010-04-27,11,35,3.1818181818181817
487,Allen County Public Library Geneaology Center,2010-04-28,14,37,2.642857142857143
488,Allen County Public Library Geneaology Center,2010-04-29,12,29,2.4166666666666665
489,Allen County Public Library Geneaology Center,2010-04-30,15,41,2.7333333333333334
490,Allen County Public Library Geneaology Center,2010-05-03,14,55,3.9285714285714284
491,Allen County Public Library Geneaology Center,2010-05-04,12,67,5.583333333333333
492,Allen County Public Library Geneaology Center,2010-05-05,14,47,3.357142857142857
493,Allen County Public Library Geneaology Center,2010-05-06,11,43,3.909090909090909
494,Allen County Public Library Geneaology Center,2010-05-07,12,59,4.916666666666667
495,Allen County Public Library Geneaology Center,2010-05-10,14,55,3.9285714285714284
496,Allen County Public Library Geneaology Center,2010-05-11,10,38,3.8
497,Allen County Public Library Geneaology Center,2010-05-12,12,47,3.9166666666666665
498,Allen County Public Library Geneaology Center,2010-05-13,9,47,5.222222222222222
499,Allen County Public Library Geneaology Center,2010-05-14,14,49,3.5
500,Allen County Public Library Geneaology Center,2010-05-17,12,49,4.083333333333333
501,Allen County Public Library Geneaology Center,2010-05-18,15,41,2.7333333333333334
502,Allen County Public Library Geneaology Center,2010-05-19,15,55,3.6666666666666665
503,Allen County Public Library Geneaology Center,2010-05-20,14,44,3.142857142857143
504,Allen County Public Library Geneaology Center,2010-05-21,13,39,3.0
505,Allen County Public Library Geneaology Center,2010-05-24,13,51,3.923076923076923
506,Allen County Public Library Geneaology Center,2010-05-25,14,49,3.5
507,Allen County Public Library Geneaology Center,2010-05-26,11,40,3.6363636363636362
508,Allen County Public Library Geneaology Center,2010-05-27,8,32,4.0
509,Allen County Public Library Geneaology Center,2010-05-28,13,54,4.153846153846154
510,Allen County Public Library Geneaology Center,2010-06-01,14,49,3.5
511,Allen County Public Library Geneaology Center,2010-06-02,12,80,6.666666666666667
512,Allen County Public Library Geneaology Center,2010-06-03,13,62,4.769230769230769
513,Allen County Public Library Geneaology Center,2010-06-04,11,61,5.545454545454546
514,Allen County Public Library Geneaology Center,2010-06-07,12,54,4.5
515,Allen County Public Library Geneaology Center,2010-06-08,13,65,5.0
516,Allen County Public Library Geneaology Center,2010-06-09,10,46,4.6
517,Allen County Public Library Geneaology Center,2010-06-10,14,53,3.7857142857142856
518,Allen County Public Library Geneaology Center,2010-06-11,12,137,11.416666666666666
519,Allen County Public Library Geneaology Center,2010-06-14,13,73,5.615384615384615
520,Allen County Public Library Geneaology Center,2010-06-15,12,52,4.333333333333333
521,Allen County Public Library Geneaology Center,2010-06-16,9,33,3.6666666666666665
522,Allen County Public Library Geneaology Center,2010-06-17,12,50,4.166666666666667
523,Allen County Public Library Geneaology Center,2010-06-18,12,42,3.5
524,Allen County Public Library Geneaology Center,2010-06-21,13,61,4.6923076923076925
525,Allen County Public Library Geneaology Center,2010-06-22,13,45,3.4615384615384617
526,Allen County Public Library Geneaology Center,2010-06-23,11,46,4.181818181818182
527,Allen County Public Library Geneaology Center,2010-06-24,13,53,4.076923076923077
528,Allen County Public Library Geneaology Center,2010-06-25,9,88,9.777777777777779
529,Allen County Public Library Geneaology Center,2010-06-28,5,38,7.6
530,Allen County Public Library Geneaology Center,2010-06-29,12,52,4.333333333333333
531,Allen County Public Library Geneaology Center,2010-06-30,10,56,5.6
532,Allen County Public Library Geneaology Center,2010-07-01,12,55,4.583333333333333
533,Allen County Public Library Geneaology Center,2010-07-02,8,40,5.0
534,Allen County Public Library Geneaology Center,2010-07-06,12,54,4.5
535,Allen County Public Library Geneaology Center,2010-07-07,8,28,3.5
536,Allen County Public Library Geneaology Center,2010-07-08,10,34,3.4
537,Allen County Public Library Geneaology Center,2010-07-09,9,29,3.2222222222222223
538,Allen County Public Library Geneaology Center,2010-07-12,13,48,3.6923076923076925
539,Allen County Public Library Geneaology Center,2010-07-13,13,61,4.6923076923076925
540,Allen County Public Library Geneaology Center,2010-07-14,12,60,5.0
541,Allen County Public Library Geneaology Center,2010-07-15,14,53,3.7857142857142856
542,Allen County Public Library Geneaology Center,2010-07-16,11,42,3.8181818181818183
543,Allen County Public Library Geneaology Center,2010-07-19,13,45,3.4615384615384617
544,Allen County Public Library Geneaology Center,2010-07-20,11,43,3.909090909090909
545,Allen County Public Library Geneaology Center,2010-07-21,14,43,3.0714285714285716
546,Allen County Public Library Geneaology Center,2010-07-22,12,55,4.583333333333333
547,Allen County Public Library Geneaology Center,2010-07-23,11,39,3.5454545454545454
548,Allen County Public Library Geneaology Center,2010-07-26,10,59,5.9
549,Allen County Public Library Geneaology Center,2010-07-27,6,38,6.333333333333333
550,Allen County Public Library Geneaology Center,2010-07-28,3,19,6.333333333333333
551,Allen County Public Library Geneaology Center,2010-07-29,2,16,8.0
552,Allen County Public Library Geneaology Center,2010-07-30,6,50,8.333333333333334
553,Allen County Public Library Geneaology Center,2010-08-02,9,76,8.444444444444445
554,Allen County Public Library Geneaology Center,2010-08-03,10,113,11.3
555,Allen County Public Library Geneaology Center,2010-08-04,8,103,12.875
556,Allen County Public Library Geneaology Center,2010-08-05,6,64,10.666666666666666
557,Allen County Public Library Geneaology Center,2010-08-06,8,73,9.125
558,Allen County Public Library Geneaology Center,2010-08-09,12,62,5.166666666666667
559,Allen County Public Library Geneaology Center,2010-08-10,13,40,3.076923076923077
560,Allen County Public Library Geneaology Center,2010-08-11,9,17,1.8888888888888888
561,Allen County Public Library Geneaology Center,2010-08-12,7,25,3.5714285714285716
562,Allen County Public Library Geneaology Center,2010-08-13,9,23,2.5555555555555554
563,Allen County Public Library Geneaology Center,2010-08-16,11,36,3.272727272727273
564,Allen County Public Library Geneaology Center,2010-08-17,8,31,3.875
565,Allen County Public Library Geneaology Center,2010-08-18,9,24,2.6666666666666665
566,Allen County Public Library Geneaology Center,2010-08-19,11,48,4.363636363636363
567,Allen County Public Library Geneaology Center,2010-08-20,10,90,9.0
